Product Name,Concentration uM,morphology score,infection rate (%),Cell model
cis-ACPD,10.0,0.19,82.0,Vero E6
cis-aconitic-acid,10.0,-0.12,109.5,Vero E6
cirazoline,10.0,0.02,102.5,Vero E6
CIQ,10.0,0.04,107.0,Vero E6
ciproxifan,10.0,0.18,95.5,Vero E6
ciprofloxacin,10.0,0.05,106.0,Vero E6
ciprofibrate,10.0,-0.09,109.0,Vero E6
cintriamide,10.0,-0.09,109.5,Vero E6
cinromide,10.0,0.14,96.0,Vero E6
CINPA-1,10.0,0.04,101.0,Vero E6
cinoxacin,10.0,-0.04,104.5,Vero E6
cinnamaldehyde,10.0,-0.03,103.5,Vero E6
cinflumide,10.0,-0.0,110.0,Vero E6
cinepazide,10.0,-0.01,107.5,Vero E6
cinchophen,10.0,0.09,104.5,Vero E6
cinchonidine,10.0,-0.11,114.0,Vero E6
cinchonidine,10.0,-0.14,109.0,Vero E6
cinanserin,10.0,0.16,92.0,Vero E6
cinalukast,10.0,0.07,105.0,Vero E6
cinaciguat,10.0,-0.07,102.5,Vero E6
cimetidine,10.0,0.15,97.5,Vero E6
cimaterol,10.0,-0.06,103.5,Vero E6
CIM-0216,10.0,0.02,92.0,Vero E6
cilostazol,10.0,-0.11,110.0,Vero E6
cilostamide,10.0,-0.13,103.0,Vero E6
cilomilast,10.0,0.25,103.5,Vero E6
cilnidipine,10.0,0.17,95.0,Vero E6
cilengitide,10.0,-0.38,109.0,Vero E6
Cilastatin Sodium,10.0,0.21,88.5,Vero E6
ciglitazone,10.0,0.04,109.5,Vero E6
cidofovir,10.0,0.03,108.5,Vero E6
CID-2745687,10.0,0.43,74.0,Vero E6
CID-2011756,10.0,0.19,110.0,Vero E6
CID-16020046,10.0,0.17,91.5,Vero E6
cicloprofen,10.0,-0.06,100.5,Vero E6
ciclopirox,0.83,0.1,96.5,Vero E6
cianidanol,10.0,-0.04,110.0,Vero E6
tacedinaline,0.83,-0.09,110.5,Vero E6
CI-976,10.0,-0.02,111.0,Vero E6
CI-966,10.0,0.02,103.0,Vero E6
CI-923,10.0,0.21,98.0,Vero E6
PD-184352,10.0,0.08,100.0,Vero E6
canertinib,10.0,-0.12,107.0,Vero E6
GMX1778,10.0,-0.09,96.5,Vero E6
chrysophanic-acid,10.0,-0.1,109.5,Vero E6
chrysin,10.0,0.18,104.0,Vero E6
chromocarb,10.0,-0.13,105.5,Vero E6
"chromanol-293B-(-)-[3R,4S]",10.0,0.13,103.5,Vero E6
chromanol-(+/-),10.0,0.24,98.5,Vero E6
ML347,10.0,0.0,103.5,Vero E6
CHPG,10.0,0.07,104.5,Vero E6
cholic-acid,10.0,0.01,110.0,Vero E6
cholesterol,10.0,0.18,98.0,Vero E6
cholecalciferol,10.0,-0.01,96.5,Vero E6
chlorzoxazone,10.0,0.17,99.0,Vero E6
chlorthalidone,10.0,0.13,78.5,Vero E6
CHLORTETRACYCLINE HYDROCHLORIDE,10.0,0.13,102.0,Vero E6
chlorquinaldol,10.0,0.05,99.0,Vero E6
chlorpyrifos,10.0,-0.24,112.0,Vero E6
chlorprothixene,10.0,0.43,68.5,Vero E6
chlorpropamide,10.0,0.27,79.5,Vero E6
chlorpromazine,0.83,0.07,98.5,Vero E6
chlorphensin-carbamate,10.0,-0.01,112.5,Vero E6
chlorphenamine,10.0,-0.1,100.0,Vero E6
chlorphenesin,10.0,-0.19,109.5,Vero E6
chloroxylenol,10.0,0.03,99.0,Vero E6
chloroxoquinoline,10.0,0.16,99.5,Vero E6
chloroxine,10.0,-0.06,98.5,Vero E6
chlorotrianisene,10.0,0.08,95.5,Vero E6
chlorothymol,10.0,-0.1,104.0,Vero E6
chlorothiazide,10.0,-0.18,106.0,Vero E6
chloroquine,10.0,0.55,57.5,Vero E6
chlorophyllin,10.0,0.15,94.0,Vero E6
chlorophyllin-copper,10.0,-0.07,108.5,Vero E6
CHLOROPHYLLIDE Cu COMPLEX Na SALT,10.0,-0.05,107.5,Vero E6
proguanil,10.0,-0.06,112.0,Vero E6
chlorogenic-acid,10.0,0.04,112.5,Vero E6
chlorocresol,10.0,0.05,95.5,Vero E6
chlorobutanol,10.0,0.12,105.5,Vero E6
chlormidazole,10.0,-0.1,117.5,Vero E6
chlormezanone,10.0,-0.1,117.0,Vero E6
chlormadinone-acetate,10.0,0.11,106.5,Vero E6
chlorisondamine-diiodide,10.0,0.22,90.5,Vero E6
chlorindione,10.0,0.01,102.0,Vero E6
chlorindanol,10.0,0.11,102.0,Vero E6
chlorhexidine,0.83,0.28,58.0,Vero E6
chlorcyclizine,10.0,0.13,102.5,Vero E6
chlorazanil,10.0,0.13,105.5,Vero E6
chloramphenicol-sodium-succinate,10.0,0.05,108.5,Vero E6
chloramphenicol-palmitate,10.0,0.04,105.5,Vero E6
chloramphenicol,10.0,-0.28,117.0,Vero E6
chloramine-T,10.0,0.04,104.5,Vero E6
chlorambucil,10.0,0.14,94.0,Vero E6
chloralose,10.0,0.16,103.0,Vero E6
CHIR-99021,0.83,-0.09,108.5,Vero E6
CHIR-98014,10.0,-0.01,96.5,Vero E6
CHIR-124,10.0,-0.16,110.0,Vero E6
chiniofon,10.0,0.05,101.5,Vero E6
chidamide,0.83,-0.07,107.0,Vero E6
chicago-sky-blue-6b,0.83,-0.05,116.5,Vero E6
ursodiol,10.0,-0.21,114.5,Vero E6
CHC,10.0,0.16,94.5,Vero E6
CH55,10.0,0.13,90.5,Vero E6
alectinib,10.0,0.14,106.5,Vero E6
CH-5183284,0.83,0.13,101.0,Vero E6
CH5132799,0.83,0.09,109.5,Vero E6
CH223191,10.0,-0.09,109.0,Vero E6
CGS-20625,10.0,0.19,96.0,Vero E6
CGS-15943,10.0,0.13,108.5,Vero E6
CGS-21680,10.0,-0.02,115.0,Vero E6
CGP-7930,10.0,-0.13,108.0,Vero E6
CGP-78608,10.0,0.04,101.0,Vero E6
CGP-74514,0.83,-0.35,114.5,Vero E6
CGP-60474,10.0,-0.16,98.0,Vero E6
CGP-57380,0.83,-0.0,95.5,Vero E6
CGP-55845,10.0,0.13,105.5,Vero E6
CGP-54626,10.0,-0.21,113.5,Vero E6
CGP-53353,10.0,0.33,77.5,Vero E6
CGP-52411,10.0,0.39,72.0,Vero E6
CGP-37157,10.0,0.24,89.0,Vero E6
CGP-20712A,10.0,-0.12,112.5,Vero E6
CGP-13501,10.0,0.08,94.0,Vero E6
CGP-12177,10.0,0.07,103.0,Vero E6
CGP-37849,10.0,0.06,110.0,Vero E6
CGK-733,0.83,0.05,104.5,Vero E6
CGH2466,10.0,0.37,99.5,Vero E6
CFTRinh-172,10.0,0.13,108.0,Vero E6
CFM-2,10.0,0.12,94.5,Vero E6
CF102,10.0,-0.03,107.0,Vero E6
cevipabulin,10.0,-0.07,92.0,Vero E6
cevimeline,10.0,0.08,98.0,Vero E6
cetylpyridinium,0.83,0.09,86.0,Vero E6
cetrorelix,10.0,0.39,79.5,Vero E6
cetrimonium,0.83,-0.2,114.5,Vero E6
cetirizine,10.0,0.15,91.0,Vero E6
cetilistat,10.0,-0.01,104.0,Vero E6
cetaben,10.0,0.21,91.5,Vero E6
aptiganel,10.0,0.09,104.5,Vero E6
PRT062070,10.0,0.44,123.0,Vero E6
ceramide,10.0,-0.05,98.0,Vero E6
cephradine,10.0,-0.19,113.0,Vero E6
cephapirin,10.0,-0.14,93.5,Vero E6
cephalothin,10.0,-0.01,102.5,Vero E6
cephalosporin-c-zn,10.0,0.0,97.0,Vero E6
cephalexin,10.0,0.01,112.0,Vero E6
CEP-33779,0.83,0.16,106.5,Vero E6
CEP-32496,0.0,-0.01,110.5,Vero E6
centpropazine,10.0,0.1,93.5,Vero E6
centazolone,10.0,-0.19,116.0,Vero E6
celiprolol,10.0,0.12,96.5,Vero E6
celecoxib,10.0,0.19,102.5,Vero E6
CEFUROXIME SODIUM,10.0,0.08,98.5,Vero E6
ceftriaxone,10.0,-0.11,112.5,Vero E6
ceftizoxim,10.0,-0.05,101.5,Vero E6
CEFTIOFUR HYDROCHLORIDE,10.0,0.16,104.5,Vero E6
ceftibuten,10.0,0.16,103.0,Vero E6
ceftaroline-fosamil,10.0,0.24,87.5,Vero E6
cephradine,10.0,0.07,98.5,Vero E6
cefprozil,10.0,0.27,99.0,Vero E6
cefpodoxime,10.0,0.11,104.5,Vero E6
cefpiramide,10.0,0.0,106.0,Vero E6
cefozopran,10.0,0.02,112.5,Vero E6
cefoxitin,10.0,0.23,100.5,Vero E6
cefotiam-cilexetil,10.0,-0.03,109.0,Vero E6
cefotiam,10.0,0.21,100.5,Vero E6
cefotetan,10.0,0.1,98.0,Vero E6
Cefoselis sulfate,10.0,0.12,101.0,Vero E6
ceforanide,10.0,0.13,100.5,Vero E6
cefoperazone,10.0,0.21,103.5,Vero E6
Cefonicid (sodium),10.0,-0.07,112.0,Vero E6
cefodizime,10.0,0.13,101.0,Vero E6
cefminox,10.0,0.05,115.0,Vero E6
cefmetazole,10.0,0.15,98.5,Vero E6
cefetamet-pivoxil,10.0,0.22,96.5,Vero E6
cefepime,10.0,0.06,114.0,Vero E6
cefditoren-pivoxil,10.0,0.15,99.5,Vero E6
cefdinir,10.0,-0.12,107.0,Vero E6
cefcapene-pivoxil,10.0,-0.18,114.0,Vero E6
cefathiamidine,10.0,0.16,92.0,Vero E6
cefamandole-nafate,10.0,0.06,102.0,Vero E6
cefadroxil,10.0,-0.02,108.5,Vero E6
cefaclor,10.0,0.05,104.0,Vero E6
cedrol,10.0,0.06,95.5,Vero E6
cebranopadol,10.0,0.06,93.0,Vero E6
CE3F4,10.0,0.1,94.5,Vero E6
CDPPB,10.0,-0.17,103.5,Vero E6
CDK1-5-inhibitor,10.0,-0.11,111.5,Vero E6
CD-437,0.83,0.23,87.5,Vero E6
CD-1530,10.0,-0.05,106.5,Vero E6
CCT137690,10.0,0.25,116.5,Vero E6
CCT129202,10.0,0.47,74.5,Vero E6
CCT128930,0.83,0.53,99.5,Vero E6
CCT018159,0.83,0.08,113.5,Vero E6
CCT-031374,10.0,0.65,35.0,Vero E6
CCMQ,10.0,-0.05,92.0,Vero E6
CCMI,10.0,0.0,103.0,Vero E6
CCG-63808,10.0,0.01,101.5,Vero E6
CCG-63802,10.0,0.05,106.5,Vero E6
CCG-1423,10.0,0.23,89.5,Vero E6
CCG-50014,10.0,0.22,96.0,Vero E6
CC4,10.0,-0.22,108.0,Vero E6
CC-401,10.0,0.36,94.5,Vero E6
AVL-292,0.83,-0.02,116.0,Vero E6
CC-223,0.83,0.21,82.5,Vero E6
CC-115,10.0,-0.05,96.5,Vero E6
N-cyclohexyl-2-benzothiazolesulfenamide,10.0,-0.01,105.5,Vero E6
CBiPES,10.0,0.37,87.0,Vero E6
CB-5083,10.0,-0.06,116.5,Vero E6
CB-10-277,10.0,0.06,99.5,Vero E6
CAY10505,10.0,0.01,111.5,Vero E6
cathepsin-inhibitor-1,10.0,0.19,97.5,Vero E6
catharanthine,10.0,0.12,110.5,Vero E6
castanospermine,10.0,-0.18,111.5,Vero E6
caspofungin,10.0,-0.01,100.0,Vero E6
caspofungin,10.0,-0.08,116.5,Vero E6
casin,0.83,0.1,101.5,Vero E6
carzenide,10.0,0.17,102.0,Vero E6
carvedilol,10.0,0.13,97.5,Vero E6
carteolol,10.0,0.11,96.5,Vero E6
carsalam,10.0,0.26,85.0,Vero E6
carprofen,10.0,-0.02,107.5,Vero E6
caroxazone,10.0,0.1,100.0,Vero E6
carnosine,0.83,0.1,99.0,Vero E6
carnitine-(D/L),10.0,-0.21,117.0,Vero E6
carmoxirole,10.0,0.06,96.5,Vero E6
carmofur,0.83,0.22,96.0,Vero E6
Carmofur,0.83,0.05,105.5,Vero E6
CARISOPRODOL,10.0,-0.33,115.5,Vero E6
cariprazine,10.0,-0.1,113.0,Vero E6
cariporide,10.0,0.17,101.0,Vero E6
caricotamide,10.0,0.11,106.5,Vero E6
carebastine,10.0,0.07,103.0,Vero E6
cardionogen-1,10.0,0.25,89.0,Vero E6
indocyanine-green,10.0,0.03,109.0,Vero E6
cardiogenol-C,10.0,0.08,100.5,Vero E6
carboxylosartan,10.0,-0.01,105.5,Vero E6
carboplatin,10.0,-0.01,102.0,Vero E6
SCMC-Lys,10.0,-0.09,112.5,Vero E6
carbinoxamine,10.0,0.07,96.0,Vero E6
carbimazole,10.0,0.16,99.0,Vero E6
carbidopa,10.0,-0.05,100.5,Vero E6
carbetocin,10.0,0.12,118.0,Vero E6
carbetapentane,10.0,0.36,83.0,Vero E6
CARBENOXOLONE SODIUM,10.0,0.07,106.0,Vero E6
carbenicillin,10.0,0.08,103.5,Vero E6
carbazochrome,10.0,0.0,113.0,Vero E6
carbaril,10.0,0.03,101.0,Vero E6
carbamazepine,10.0,-0.02,107.5,Vero E6
carbadox,10.0,0.23,85.0,Vero E6
carbachol,10.0,-0.15,101.0,Vero E6
carazolol,10.0,-0.01,91.5,Vero E6
caramiphen,10.0,0.14,95.5,Vero E6
caracemide,10.0,0.1,103.5,Vero E6
captopril,10.0,0.01,104.0,Vero E6
captan,10.0,0.23,93.0,Vero E6
captamine,10.0,0.11,91.0,Vero E6
capsazepine,10.0,-0.1,92.5,Vero E6
capsaicin,10.0,0.07,107.0,Vero E6
capreomycin,10.0,0.15,100.5,Vero E6
capobenic-acid,10.0,0.09,107.5,Vero E6
INC-280,10.0,0.04,98.0,Vero E6
capecitabine,10.0,-0.21,114.0,Vero E6
capadenoson,10.0,-0.15,115.0,Vero E6
canrenone,10.0,0.22,94.0,Vero E6
potassium-canrenoate,10.0,-0.17,114.5,Vero E6
candicidin,0.83,0.2,100.5,Vero E6
candesartan-cilexetil,10.0,0.13,92.5,Vero E6
candesartan,10.0,0.17,105.0,Vero E6
camylofine-chlorhydrate,10.0,0.18,98.0,Vero E6
camptothecin,0.83,-0.22,114.5,Vero E6
camphor-(+),10.0,0.0,109.5,Vero E6
camostat-mesilate,10.0,0.1,113.5,Vero E6
CaMKII-IN-1,10.0,0.1,94.5,Vero E6
camicinal,10.0,0.0,108.0,Vero E6
Calhex-231,10.0,0.13,91.5,Vero E6
leucovorin,10.0,-0.02,90.0,Vero E6
calcium-gluceptate,10.0,-0.06,116.0,Vero E6
calcitriol,10.0,0.1,108.0,Vero E6
calcipotriol,10.0,-0.27,103.0,Vero E6
calcifediol,10.0,-0.01,115.0,Vero E6
idelalisib,10.0,-0.02,116.5,Vero E6
caffeine,10.0,-0.17,113.0,Vero E6
caffeic-acid-phenethyl-ester,10.0,-0.01,79.0,Vero E6
caffeic-acid,10.0,-0.04,110.0,Vero E6
cafestol,10.0,-0.08,112.0,Vero E6
cadralazine,10.0,0.09,107.5,Vero E6
CaCCinh-A01,0.83,0.1,106.0,Vero E6
cabozantinib,0.83,0.33,97.5,Vero E6
"Cabotegravir (GSK744, GSK1265744)",10.0,-0.01,107.5,Vero E6
cabergoline,10.0,0.09,104.5,Vero E6
C646,10.0,0.1,108.5,Vero E6
C34,10.0,0.22,92.5,Vero E6
DCC-2618,10.0,0.41,97.5,Vero E6
C-751,10.0,-0.11,112.5,Vero E6
C-1,10.0,0.45,102.5,Vero E6
C-021,0.83,0.42,51.5,Vero E6
BYK-204165,0.83,0.09,100.0,Vero E6
ZK-811752,10.0,-0.05,112.0,Vero E6
BX-912,10.0,-0.0,110.0,Vero E6
BX-795,0.83,0.1,118.0,Vero E6
BW-A4C,10.0,0.09,97.5,Vero E6
BW-723C86,10.0,0.06,90.0,Vero E6
BW-616U,10.0,-0.01,107.5,Vero E6
BW-373U86,10.0,0.1,105.0,Vero E6
BVT-948,0.83,-0.05,113.5,Vero E6
BVT-2733,10.0,-0.05,110.0,Vero E6
butylscopolamine-bromide,10.0,0.19,102.5,Vero E6
butylphthalide,10.0,-0.11,102.5,Vero E6
butylated-hydroxyanisole,10.0,-0.13,116.0,Vero E6
butibufen,10.0,0.27,108.0,Vero E6
butenafine,10.0,0.5,71.0,Vero E6
butein,10.0,0.26,106.0,Vero E6
butamben,10.0,0.1,108.0,Vero E6
butalbital,10.0,-0.06,117.0,Vero E6
butacaine,10.0,0.21,100.5,Vero E6
butabindide,10.0,0.2,86.5,Vero E6
busulfan,10.0,-0.03,102.5,Vero E6
buramate,10.0,0.24,84.5,Vero E6
bupropion,10.0,0.01,96.5,Vero E6
bupranolol,10.0,-0.01,111.0,Vero E6
bupivacaine,10.0,0.03,110.0,Vero E6
bupicomide,10.0,-0.19,101.5,Vero E6
buparvaquone,0.83,0.04,94.0,Vero E6
bunazosin,10.0,0.08,108.5,Vero E6
bumetanide,10.0,0.05,102.0,Vero E6
buflomedil,10.0,0.05,102.0,Vero E6
bufexamac,10.0,0.23,94.0,Vero E6
budipine,10.0,0.4,76.5,Vero E6
buclizine,10.0,0.31,90.5,Vero E6
bucladesine,10.0,0.05,104.5,Vero E6
bucillamine,10.0,-0.04,107.0,Vero E6
BU226,10.0,0.12,102.0,Vero E6
BU-239,10.0,0.18,93.0,Vero E6
BU-224,10.0,0.13,93.0,Vero E6
BTT-3033,10.0,0.27,83.5,Vero E6
BTS-72664,10.0,-0.04,112.0,Vero E6
BTS-54505,10.0,-0.09,115.5,Vero E6
BTS,10.0,0.15,100.5,Vero E6
BTB1,10.0,-0.05,116.0,Vero E6
BTB06584,10.0,0.25,104.0,Vero E6
BS-181,10.0,0.71,41.0,Vero E6
brucine,10.0,0.04,105.0,Vero E6
broxyquinoline,10.0,0.02,104.0,Vero E6
broxaterol,10.0,-0.01,111.5,Vero E6
broxaldine,0.83,0.25,103.0,Vero E6
bropirimine,10.0,0.11,99.5,Vero E6
bronopol,10.0,-0.08,107.5,Vero E6
brompheniramine,10.0,-0.02,105.5,Vero E6
bromperidol,10.0,-0.08,106.5,Vero E6
bromosporine,10.0,-0.02,111.0,Vero E6
bromopride,10.0,-0.11,116.5,Vero E6
bromindione,10.0,0.2,93.5,Vero E6
bromhexine,10.0,-0.02,101.5,Vero E6
bromfenac,10.0,-0.05,104.5,Vero E6
bromantan,10.0,-0.11,99.5,Vero E6
BRL-54443,10.0,0.21,101.0,Vero E6
BRL-52537,10.0,0.17,91.5,Vero E6
BRL-50481,10.0,0.04,97.0,Vero E6
BRL-44408,10.0,0.03,92.5,Vero E6
BRL-37344,10.0,-0.07,107.0,Vero E6
BRL-26314,10.0,0.01,101.5,Vero E6
BRL-15572,10.0,-0.01,96.5,Vero E6
Brivaracetam,10.0,0.03,111.0,Vero E6
brivanib-alaninate,10.0,0.39,106.5,Vero E6
brinzolamide,10.0,0.27,69.0,Vero E6
brimonidine,10.0,0.03,106.5,Vero E6
brilliant-green,10.0,-0.17,112.5,Vero E6
GDC-0810,10.0,0.08,103.0,Vero E6
brigatinib,0.83,-0.18,105.0,Vero E6
briciclib,0.83,-0.09,92.0,Vero E6
brexpiprazole,10.0,0.01,98.5,Vero E6
bretazenil,10.0,0.11,101.0,Vero E6
brequinar,10.0,0.12,95.0,Vero E6
bremelanotide,10.0,0.07,96.5,Vero E6
BRD4770,10.0,0.03,94.5,Vero E6
BRD9876,10.0,0.1,105.0,Vero E6
BRD7389,10.0,-0.01,112.5,Vero E6
LMI070,10.0,-0.37,119.5,Vero E6
BQU57,10.0,0.05,98.0,Vero E6
BQ-788,10.0,0.1,104.0,Vero E6
BQ-123,10.0,0.16,103.0,Vero E6
BP-897,10.0,-0.01,94.5,Vero E6
BP-554,10.0,0.08,101.0,Vero E6
bosutinib,10.0,0.01,96.5,Vero E6
bosentan,10.0,0.03,112.0,Vero E6
bopindolol,10.0,0.12,110.0,Vero E6
bonaphthone,10.0,-0.03,103.0,Vero E6
boceprevir,10.0,-0.16,113.0,Vero E6
BNTX,0.83,0.73,23.5,Vero E6
BNC105,0.83,-0.14,114.5,Vero E6
BMY-7378,10.0,-0.29,116.5,Vero E6
BMY-45778,10.0,0.19,101.5,Vero E6
BMY-14802,10.0,0.09,108.0,Vero E6
BMS-CCR2-22,10.0,0.07,93.5,Vero E6
BMS-983970,10.0,0.18,102.5,Vero E6
BMS-806,10.0,-0.07,99.0,Vero E6
avagacestat,10.0,0.08,108.5,Vero E6
BMS-707035,10.0,0.05,104.0,Vero E6
BMS-690514,0.83,-0.24,111.5,Vero E6
BMS-688521,10.0,0.02,114.0,Vero E6
BMS-649,10.0,-0.01,110.5,Vero E6
BMS-599626,0.83,-0.1,102.5,Vero E6
BMS-587101,10.0,0.28,92.5,Vero E6
PS178990,10.0,0.19,91.5,Vero E6
BMS-536924,0.83,0.02,110.0,Vero E6
BMS-470539,10.0,0.11,98.0,Vero E6
BMS-345541,0.83,-0.35,116.5,Vero E6
BMS-309403,10.0,0.07,96.5,Vero E6
BMS-265246,10.0,0.38,104.0,Vero E6
BMS-191095,10.0,0.45,81.0,Vero E6
BMS-191011,10.0,0.59,39.5,Vero E6
BMS-182874,10.0,0.12,95.5,Vero E6
PD1-PDL-inhibitor-1,10.0,0.01,95.0,Vero E6
metatinib,10.0,0.55,101.5,Vero E6
BMS-777607,10.0,0.36,107.0,Vero E6
BMS-299897,10.0,0.03,112.5,Vero E6
BML-284,10.0,-0.02,111.0,Vero E6
BML-190,10.0,0.13,112.0,Vero E6
BLU9931,10.0,0.57,67.0,Vero E6
blonanserin,10.0,0.25,107.0,Vero E6
bleomycin,10.0,0.03,100.0,Vero E6
bleomycetin,0.83,0.13,111.0,Vero E6
blebbistatin-(+/-),10.0,0.46,84.0,Vero E6
BL-5583,10.0,0.07,88.0,Vero E6
buparlisib,10.0,-0.09,103.0,Vero E6
BIX-02189,10.0,-0.27,112.5,Vero E6
BIX-02188,10.0,-0.13,119.5,Vero E6
BIX-01294,0.83,0.46,73.5,Vero E6
bivalirudin,10.0,-0.0,102.0,Vero E6
bitoscanate,10.0,-0.03,106.5,Vero E6
bitopertin,10.0,0.12,108.5,Vero E6
bithionol,10.0,-0.1,106.0,Vero E6
bisphenol-A,10.0,0.06,106.0,Vero E6
bisoprolol,10.0,-0.03,106.0,Vero E6
bisoctrizole,10.0,-0.05,113.5,Vero E6
bismuth-subgallate,10.0,0.06,107.0,Vero E6
bismuth-subsalicylate,10.0,-0.24,116.5,Vero E6
bismuth-subcitrate-potassium,10.0,-0.0,103.0,Vero E6
bisindolylmaleimide-IX,0.83,0.09,91.0,Vero E6
bisacodyl,10.0,0.26,85.5,Vero E6
bis(maltolato)oxovanadium(IV),10.0,-0.46,106.0,Vero E6
BIRT-377,10.0,0.25,96.5,Vero E6
doramapimod,10.0,0.48,86.0,Vero E6
biperiden,10.0,0.48,75.5,Vero E6
biotin,10.0,-0.02,108.0,Vero E6
4-methylgenistein,10.0,0.14,103.0,Vero E6
BIO-5192,10.0,0.16,91.0,Vero E6
binimetinib,0.83,-0.0,110.5,Vero E6
bindarit,10.0,0.13,112.0,Vero E6
BIMU-8,10.0,0.02,106.0,Vero E6
PI3K-IN-2,10.0,0.03,114.0,Vero E6
bimatoprost,10.0,0.04,103.0,Vero E6
bilobalide,10.0,0.03,109.5,Vero E6
bilastine,10.0,0.14,107.0,Vero E6
BIIB021,10.0,0.26,98.5,Vero E6
bifendate,10.0,0.07,107.5,Vero E6
bifemelane,10.0,0.52,65.0,Vero E6
bicyclol,10.0,0.2,88.0,Vero E6
bicuculline-methochloride-(-),10.0,-0.16,110.0,Vero E6
bicuculline-(+),10.0,-0.04,98.0,Vero E6
bicifadine,10.0,0.03,107.0,Vero E6
bicalutamide,10.0,-0.0,113.5,Vero E6
BIBX-1382,10.0,0.04,114.0,Vero E6
BIBR-1532,10.0,0.23,103.0,Vero E6
dabigatran-etexilate,10.0,0.03,98.5,Vero E6
dabigatran,10.0,0.27,96.0,Vero E6
biapenem,10.0,-0.03,99.5,Vero E6
volasertib,10.0,-0.31,103.5,Vero E6
BI-D1870,0.83,0.16,106.0,Vero E6
BI-847325,0.83,-0.15,99.0,Vero E6
BI-78D3,0.83,0.39,76.5,Vero E6
BI-2536,10.0,-0.31,104.5,Vero E6
BI-224436,10.0,0.02,104.0,Vero E6
pitolisant,10.0,0.24,81.0,Vero E6
bezafibrate,10.0,0.02,103.5,Vero E6
bexarotene,10.0,0.18,108.0,Vero E6
bevirimat-dimeglumine,10.0,-0.01,113.0,Vero E6
bevantolol,10.0,-0.03,109.5,Vero E6
betulinic-acid,10.0,0.03,108.5,Vero E6
NSC-4644,10.0,0.0,99.5,Vero E6
betrixaban,10.0,0.09,91.0,Vero E6
BETP,10.0,0.64,33.5,Vero E6
bethanechol,10.0,0.04,105.5,Vero E6
Betapar (Meprednisone),10.0,0.02,108.0,Vero E6
betamipron,10.0,0.01,117.5,Vero E6
BETAMETHASONE VALERATE,10.0,-0.06,111.5,Vero E6
betamethasone-acetate,10.0,-0.08,119.0,Vero E6
"BETAMETHASONE 17,21-DIPROPIONATE",10.0,0.14,103.5,Vero E6
betamethasone,10.0,-0.14,114.0,Vero E6
betaine,10.0,0.11,102.5,Vero E6
beta-hydroxybutyrate,10.0,-0.06,115.5,Vero E6
beta-hydroxy-beta-methylbutyrate,10.0,0.02,105.0,Vero E6
beta-funaltrexamine,10.0,0.02,99.0,Vero E6
beta-elemene,10.0,-0.21,111.0,Vero E6
CDBA,10.0,-0.07,107.5,Vero E6
beta-CCB,10.0,0.16,94.0,Vero E6
BET-BAY-002,0.83,-0.11,108.5,Vero E6
besifloxacin,10.0,0.17,109.5,Vero E6
bergenin,10.0,0.09,96.0,Vero E6
bergapten,10.0,0.07,108.0,Vero E6
berberine,10.0,0.06,98.0,Vero E6
bepotastine,10.0,0.09,90.0,Vero E6
bephenium-hydroxynaphthoate,10.0,0.17,94.5,Vero E6
benzyldimethylhexadecylammonium,10.0,0.3,80.0,Vero E6
benzydamine,10.0,0.4,70.5,Vero E6
benztropine-mesylate,10.0,0.48,84.5,Vero E6
benzthiazide,10.0,-0.19,116.5,Vero E6
benzoylpas,10.0,0.21,91.5,Vero E6
benzoyl-peroxide,10.0,-0.04,97.5,Vero E6
benzoxiquine,10.0,0.12,97.0,Vero E6
benzotript,10.0,-0.05,104.0,Vero E6
benzoquinonium-dibromide,10.0,-0.01,113.0,Vero E6
benzoin,10.0,-0.11,101.0,Vero E6
benzoic-acid,10.0,0.04,110.0,Vero E6
benzofenac,10.0,-0.11,105.5,Vero E6
benzocaine,10.0,-0.01,112.5,Vero E6
benzo[d]thiazole-2(3H)-thione,10.0,0.05,103.5,Vero E6
benznidazole,10.0,0.06,112.5,Vero E6
benzethonium,10.0,-0.1,108.5,Vero E6
"benzenemethanol,-2,5-dimethyl-[[(1-methylethyl)amino]methyl]",10.0,0.06,106.5,Vero E6
benzbromarone,10.0,0.14,85.5,Vero E6
benzalkonium,10.0,0.04,105.0,Vero E6
benurestat,10.0,0.15,114.5,Vero E6
bentiromide,10.0,0.21,105.5,Vero E6
PGL5001,10.0,0.2,99.5,Vero E6
benserazide,10.0,-0.1,96.5,Vero E6
benproperine,10.0,0.21,79.0,Vero E6
benperidol,10.0,-0.26,118.5,Vero E6
oxybuprocaine,10.0,0.09,113.5,Vero E6
benidipine,10.0,0.03,101.5,Vero E6
benfotiamine,10.0,-0.03,111.5,Vero E6
benfluorex,10.0,0.03,103.5,Vero E6
bendroflumethiazide,10.0,0.14,87.5,Vero E6
bendazac,10.0,-0.02,102.5,Vero E6
benazepril,10.0,0.41,90.5,Vero E6
bemesetron,10.0,0.22,89.5,Vero E6
bemegride,10.0,0.09,95.5,Vero E6
VX-765,10.0,0.04,116.0,Vero E6
belinostat,10.0,0.02,97.5,Vero E6
bekanamycin,10.0,0.1,103.0,Vero E6
begacestat,10.0,0.01,98.0,Vero E6
befuraline,10.0,-0.01,106.0,Vero E6
beclomethasone-dipropionate,10.0,0.13,105.0,Vero E6
beclomethasone,10.0,0.1,89.5,Vero E6
beclamide,10.0,0.28,97.5,Vero E6
BE-2254,10.0,0.01,106.5,Vero E6
